sepal_length,sepal_width,petal_length,petal_width,species,event_timestamp,flower_id
5.1,3.5,1.4,0.2,setosa,2025-06-22 18:21:21.912413,0
4.9,3.0,1.4,0.2,setosa,2025-06-22 18:20:21.912413,0
4.7,3.2,1.3,0.2,setosa,2025-06-22 18:19:21.912413,0
4.6,3.1,1.5,0.2,setosa,2025-06-22 18:18:21.912413,0
5.0,3.6,1.4,0.2,setosa,2025-06-22 18:17:21.912413,0
5.4,3.9,1.7,0.4,setosa,2025-06-22 18:16:21.912413,0
4.6,3.4,1.4,0.3,setosa,2025-06-22 18:15:21.912413,0
5.0,3.4,1.5,0.2,setosa,2025-06-22 18:14:21.912413,0
4.4,2.9,1.4,0.2,setosa,2025-06-22 18:13:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 18:12:21.912413,0
5.4,3.7,1.5,0.2,setosa,2025-06-22 18:11:21.912413,0
4.8,3.4,1.6,0.2,setosa,2025-06-22 18:10:21.912413,0
4.8,3.0,1.4,0.1,setosa,2025-06-22 18:09:21.912413,0
4.3,3.0,1.1,0.1,setosa,2025-06-22 18:08:21.912413,0
5.8,4.0,1.2,0.2,setosa,2025-06-22 18:07:21.912413,0
5.7,4.4,1.5,0.4,setosa,2025-06-22 18:06:21.912413,0
5.4,3.9,1.3,0.4,setosa,2025-06-22 18:05:21.912413,0
5.1,3.5,1.4,0.3,setosa,2025-06-22 18:04:21.912413,0
5.7,3.8,1.7,0.3,setosa,2025-06-22 18:03:21.912413,0
5.1,3.8,1.5,0.3,setosa,2025-06-22 18:02:21.912413,0
5.4,3.4,1.7,0.2,setosa,2025-06-22 18:01:21.912413,0
5.1,3.7,1.5,0.4,setosa,2025-06-22 18:00:21.912413,0
4.6,3.6,1.0,0.2,setosa,2025-06-22 17:59:21.912413,0
5.1,3.3,1.7,0.5,setosa,2025-06-22 17:58:21.912413,0
4.8,3.4,1.9,0.2,setosa,2025-06-22 17:57:21.912413,0
5.0,3.0,1.6,0.2,setosa,2025-06-22 17:56:21.912413,0
5.0,3.4,1.6,0.4,setosa,2025-06-22 17:55:21.912413,0
5.2,3.5,1.5,0.2,setosa,2025-06-22 17:54:21.912413,0
5.2,3.4,1.4,0.2,setosa,2025-06-22 17:53:21.912413,0
4.7,3.2,1.6,0.2,setosa,2025-06-22 17:52:21.912413,0
4.8,3.1,1.6,0.2,setosa,2025-06-22 17:51:21.912413,0
5.4,3.4,1.5,0.4,setosa,2025-06-22 17:50:21.912413,0
5.2,4.1,1.5,0.1,setosa,2025-06-22 17:49:21.912413,0
5.5,4.2,1.4,0.2,setosa,2025-06-22 17:48:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 17:47:21.912413,0
5.0,3.2,1.2,0.2,setosa,2025-06-22 17:46:21.912413,0
5.5,3.5,1.3,0.2,setosa,2025-06-22 17:45:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 17:44:21.912413,0
4.4,3.0,1.3,0.2,setosa,2025-06-22 17:43:21.912413,0
5.1,3.4,1.5,0.2,setosa,2025-06-22 17:42:21.912413,0
5.0,3.5,1.3,0.3,setosa,2025-06-22 17:41:21.912413,0
4.5,2.3,1.3,0.3,setosa,2025-06-22 17:40:21.912413,0
4.4,3.2,1.3,0.2,setosa,2025-06-22 17:39:21.912413,0
5.0,3.5,1.6,0.6,setosa,2025-06-22 17:38:21.912413,0
5.1,3.8,1.9,0.4,setosa,2025-06-22 17:37:21.912413,0
4.8,3.0,1.4,0.3,setosa,2025-06-22 17:36:21.912413,0
5.1,3.8,1.6,0.2,setosa,2025-06-22 17:35:21.912413,0
4.6,3.2,1.4,0.2,setosa,2025-06-22 17:34:21.912413,0
5.3,3.7,1.5,0.2,setosa,2025-06-22 17:33:21.912413,0
5.0,3.3,1.4,0.2,setosa,2025-06-22 17:32:21.912413,0
7.0,3.2,4.7,1.4,versicolor,2025-06-22 17:31:21.912413,1
6.4,3.2,4.5,1.5,versicolor,2025-06-22 17:30:21.912413,1
6.9,3.1,4.9,1.5,versicolor,2025-06-22 17:29:21.912413,1
5.5,2.3,4.0,1.3,versicolor,2025-06-22 17:28:21.912413,1
6.5,2.8,4.6,1.5,versicolor,2025-06-22 17:27:21.912413,1
5.7,2.8,4.5,1.3,versicolor,2025-06-22 17:26:21.912413,1
6.3,3.3,4.7,1.6,versicolor,2025-06-22 17:25:21.912413,1
4.9,2.4,3.3,1.0,versicolor,2025-06-22 17:24:21.912413,1
6.6,2.9,4.6,1.3,versicolor,2025-06-22 17:23:21.912413,1
5.2,2.7,3.9,1.4,versicolor,2025-06-22 17:22:21.912413,1
5.0,2.0,3.5,1.0,versicolor,2025-06-22 17:21:21.912413,1
5.9,3.0,4.2,1.5,versicolor,2025-06-22 17:20:21.912413,1
6.0,2.2,4.0,1.0,versicolor,2025-06-22 17:19:21.912413,1
6.1,2.9,4.7,1.4,versicolor,2025-06-22 17:18:21.912413,1
5.6,2.9,3.6,1.3,versicolor,2025-06-22 17:17:21.912413,1
6.7,3.1,4.4,1.4,versicolor,2025-06-22 17:16:21.912413,1
5.6,3.0,4.5,1.5,versicolor,2025-06-22 17:15:21.912413,1
5.8,2.7,4.1,1.0,versicolor,2025-06-22 17:14:21.912413,1
6.2,2.2,4.5,1.5,versicolor,2025-06-22 17:13:21.912413,1
5.6,2.5,3.9,1.1,versicolor,2025-06-22 17:12:21.912413,1
5.9,3.2,4.8,1.8,versicolor,2025-06-22 17:11:21.912413,1
6.1,2.8,4.0,1.3,versicolor,2025-06-22 17:10:21.912413,1
